image,label
final_dataset/train/clean/clean_train Image 2020-08-25 at 12.56.50 PM (16).jpeg,0
final_dataset/train/clean/clean_train Image 2020-08-31 at 9.29.10 AM.jpeg,0
final_dataset/train/clean/clean_train Image 2020-05-19 at 10.25.03 AM (3).jpeg,0
final_dataset/train/clean/clean_train Image 2020-05-24 at 5.24.31 PM (3).jpeg,0
final_dataset/train/clean/clean_train Image 2021-01-11 at 9.38.37 AM (4).jpeg,0
final_dataset/train/clean/clean_train Image 2020-11-02 at 7.32.00 PM (7).jpeg,0
final_dataset/train/clean/clean_train03865.jpg,0
final_dataset/train/clean/clean_train201561.jpg,0
final_dataset/train/clean/02587_03.jpg,0
final_dataset/train/clean/clean_train04105.jpg,0
final_dataset/train/clean/clean_train201549.jpg,0
final_dataset/train/clean/clean_train01069.jpg,0
final_dataset/train/clean/00579_03.jpg,0
final_dataset/train/clean/clean_train202281.jpg,0
final_dataset/train/clean/00802_04.jpg,0
final_dataset/train/clean/02059_07.jpg,0
final_dataset/train/clean/clean_train01525.jpg,0
final_dataset/train/clean/01639_07.jpg,0
final_dataset/train/clean/clean_train Image 2020-10-20 at 7.17.23 PM (4).jpeg,0
final_dataset/train/clean/clean_train Image 2020-05-10 at 3.38.05 PM (2).jpeg,0
final_dataset/train/clean/01017_02.jpg,0
final_dataset/train/clean/clean_train Image 2020-07-30 at 10.57.30 AM (3).jpeg,0
final_dataset/train/clean/clean_train Image 2020-05-12 at 9.00.06 PM (2).jpeg,0
final_dataset/train/clean/clean_train Image 2020-12-27 at 12.37.01 PM.jpeg,0
final_dataset/train/clean/clean_train Image 2020-08-20 at 7.44.06 AM (13).jpeg,0
final_dataset/train/clean/clean_train Image 2020-12-27 at 12.37.01 PM (2).jpeg,0
final_dataset/train/clean/clean_train00997.jpg,0
final_dataset/train/clean/clean_train201165.jpg,0
final_dataset/train/clean/clean_train04273.jpg,0
final_dataset/train/clean/clean_train200253.jpg,0
final_dataset/train/clean/clean_train00001.jpg,0
final_dataset/train/clean/clean_train Image 2020-08-20 at 7.44.06 AM (9).jpeg,0
final_dataset/train/clean/clean_train Image 2020-09-20 at 7.02.50 PM.jpeg,0
final_dataset/train/clean/clean_train Image 2020-05-09 at 2.03.37 PM (1).jpeg,0
final_dataset/train/clean/clean_68.jpg,0
final_dataset/train/clean/clean_40.jpg,0
final_dataset/train/clean/00910_04.jpg,0
final_dataset/train/clean/03018_04.jpg,0
final_dataset/train/clean/clean_train Image 2020-07-12 at 6.25.08 PM.jpeg,0
final_dataset/train/clean/clean_54.jpg,0
final_dataset/train/clean/00594_00.jpg,0
final_dataset/train/clean/clean_train Image 2020-05-12 at 9.01.11 AM (1).jpeg,0
final_dataset/train/clean/clean_train Image 2020-05-24 at 5.18.11 PM (1).jpeg,0
final_dataset/train/clean/clean_train Image 2020-07-11 at 5.57.47 PM (2).jpeg,0
final_dataset/train/clean/01021_03.jpg,0
final_dataset/train/clean/clean_train Image 2020-08-16 at 3.46.03 PM (1).jpeg,0
final_dataset/train/clean/02732_06.jpg,0
final_dataset/train/clean/clean_train Image 2020-08-15 at 12.58.54 AM (1).jpeg,0
final_dataset/train/clean/00543_02.jpg,0
final_dataset/train/clean/clean_83.jpg,0
final_dataset/train/clean/clean_train201429.jpg,0
final_dataset/train/clean/clean_train Image 2020-05-24 at 5.24.31 PM (12).jpeg,0
final_dataset/train/clean/clean_82.jpg,0
final_dataset/train/clean/clean_train02401.jpg,0
final_dataset/train/clean/clean_train Image 2020-08-22 at 5.36.24 PM (1).jpeg,0
final_dataset/train/clean/clean_train Image 2020-07-06 at 9.41.54 AM.jpeg,0
final_dataset/train/clean/clean_train Image 2021-02-09 at 8.54.10 AM.jpeg,0
final_dataset/train/clean/clean_train01861.jpg,0
final_dataset/train/clean/clean_55.jpg,0
final_dataset/train/clean/clean_train Image 2020-12-27 at 3.31.16 PM (3).jpeg,0
final_dataset/train/clean/02741_02.jpg,0
final_dataset/train/clean/clean_41.jpg,0
final_dataset/train/clean/clean_train Image 2020-05-24 at 5.10.04 PM (3).jpeg,0
final_dataset/train/clean/clean_train Image 2020-07-11 at 5.43.32 PM (2).jpeg,0
final_dataset/train/clean/clean_train Image 2020-07-11 at 5.39.58 PM (2).jpeg,0
final_dataset/train/clean/clean_train Image 2020-07-26 at 4.35.42 PM (3).jpeg,0
final_dataset/train/clean/clean_train Image 2020-05-10 at 9.39.31 AM (1).jpeg,0
final_dataset/train/clean/clean_69.jpg,0
final_dataset/train/clean/clean_train Image 2020-05-08 at 2.18.58 PM (7).jpeg,0
final_dataset/train/clean/clean_train01849.jpg,0
final_dataset/train/clean/clean_train02617.jpg,0
final_dataset/train/clean/clean_train Image 2020-05-24 at 5.18.12 PM (6).jpeg,0
final_dataset/train/clean/clean_train Image 2020-08-20 at 7.38.12 AM (14).jpeg,0
final_dataset/train/clean/clean_train Image 2020-05-10 at 5.07.35 PM (2).jpeg,0
final_dataset/train/clean/clean_train Image 2020-08-19 at 11.25.48 AM (2).jpeg,0
final_dataset/train/clean/clean_train Image 2020-08-16 at 1.46.01 AM.jpeg,0
final_dataset/train/clean/clean_train03253.jpg,0
final_dataset/train/clean/clean_train Image 2020-07-11 at 5.39.59 PM (16).jpeg,0
final_dataset/train/clean/clean_train Image 2020-08-20 at 7.38.12 AM (1).jpeg,0
final_dataset/train/clean/clean_train Image 2020-05-24 at 5.18.11 PM.jpeg,0
final_dataset/train/clean/clean_train Image 2020-05-08 at 2.24.45 PM (4).jpeg,0
final_dataset/train/clean/clean_train Image 2020-07-12 at 6.25.07 PM (8).jpeg,0
final_dataset/train/clean/02775_06.jpg,0
final_dataset/train/clean/clean_train Image 2020-05-10 at 4.59.16 PM (7).jpeg,0
final_dataset/train/clean/clean_train02005.jpg,0
final_dataset/train/clean/clean_train202257.jpg,0
final_dataset/train/clean/clean_train03469.jpg,0
final_dataset/train/clean/clean_train Image 2020-05-09 at 3.57.59 PM (2).jpeg,0
final_dataset/train/clean/clean_train Image 2020-07-11 at 5.46.31 PM.jpeg,0
final_dataset/train/clean/01033_02.jpg,0
final_dataset/train/clean/clean_train201945.jpg,0
final_dataset/train/clean/00880_06.jpg,0
final_dataset/train/clean/clean_train Image 2020-08-18 at 6.45.10 PM.jpeg,0
final_dataset/train/clean/clean_train Image 2020-05-24 at 5.24.32 PM (4).jpeg,0
final_dataset/train/clean/03186_03.jpg,0
final_dataset/train/clean/clean_train Image 2020-05-11 at 8.24.43 PM (5).jpeg,0
final_dataset/train/clean/clean_train Image 2020-10-20 at 7.14.11 PM (7).jpeg,0
final_dataset/train/clean/clean_train Image 2020-09-27 at 5.34.18 PM (5).jpeg,0
final_dataset/train/clean/02283_03.jpg,0
final_dataset/train/clean/00210_06.jpg,0
final_dataset/train/clean/clean_train202041.jpg,0
final_dataset/train/clean/01123_07.jpg,0
final_dataset/train/clean/C_A6aqrW0AAxnLI.jpeg,0
final_dataset/train/clean/clean_train200865.jpg,0
final_dataset/train/clean/96e9257b31c6f5461fb9ef3a75263e4d0473d4d1.temp.jpeg,0
final_dataset/train/clean/clean_train Image 2020-05-24 at 5.24.32 PM (6).jpeg,0
final_dataset/train/clean/00156_02.jpg,0
final_dataset/train/clean/clean_train Image 2020-07-06 at 9.41.55 AM (3).jpeg,0
final_dataset/train/clean/clean_train01081.jpg,0
final_dataset/train/clean/clean_train200697.jpg,0
final_dataset/train/clean/03207_00.jpg,0
final_dataset/train/clean/clean_train03133.jpg,0
final_dataset/train/clean/clean_train Image 2020-10-20 at 7.14.11 PM (11).jpeg,0
final_dataset/train/clean/clean_train Image 2021-01-11 at 9.38.36 AM (9).jpeg,0
final_dataset/train/clean/clean_train Image 2020-09-20 at 7.02.49 PM.jpeg,0
final_dataset/train/clean/00674_07.jpg,0
final_dataset/train/clean/02239_06.jpg,0
final_dataset/train/clean/clean_train Image 2020-09-21 at 8.53.15 AM.jpeg,0
final_dataset/train/clean/clean_train200481.jpg,0
final_dataset/train/clean/clean_train Image 2020-05-08 at 2.21.55 PM (5).jpeg,0
final_dataset/train/clean/clean_train03325.jpg,0
final_dataset/train/clean/clean_train202269.jpg,0
final_dataset/train/clean/01133_00.jpg,0
final_dataset/train/clean/803a850e-48bc-4704-ae95-32e3e743823e.jpeg,0
final_dataset/train/clean/01979_05.jpg,0
final_dataset/train/clean/clean_train03457.jpg,0
final_dataset/train/clean/clean_train02749.jpg,0
final_dataset/train/clean/clean_train Image 2020-05-08 at 2.21.53 PM (6).jpeg,0
final_dataset/train/clean/clean_train02761.jpg,0
final_dataset/train/clean/clean_train Image 2020-10-20 at 7.14.11 PM (5).jpeg,0
final_dataset/train/clean/clean_train Image 2020-12-30 at 9.06.18 AM.jpeg,0
final_dataset/train/clean/clean_train Image 2020-05-08 at 2.18.58 PM (5).jpeg,0
final_dataset/train/clean/clean_train Image 2020-12-27 at 3.31.16 PM (1).jpeg,0
final_dataset/train/clean/clean_train Image 2020-08-20 at 7.44.07 AM (4).jpeg,0
final_dataset/train/clean/clean_train Image 2021-02-06 at 11.23.10 AM.jpeg,0
final_dataset/train/clean/clean_train Image 2020-05-24 at 5.10.04 PM (1).jpeg,0
final_dataset/train/clean/clean_train02629.jpg,0
final_dataset/train/clean/00257_05.jpg,0
final_dataset/train/clean/clean_train02173.jpg,0
final_dataset/train/clean/02542_02.jpg,0
final_dataset/train/clean/368ccf42-f38e-4bee-b964-1aa32b628512.jpeg,0
final_dataset/train/clean/clean_train Image 2020-09-27 at 5.34.18 PM.jpeg,0
final_dataset/train/clean/clean_train Image 2021-01-11 at 9.15.39 AM (5).jpeg,0
final_dataset/train/clean/clean_train200913.jpg,0
final_dataset/train/clean/clean_train Image 2020-07-21 at 2.52.22 PM (1).jpeg,0
